rel_path,filename,page_count,pc1,pc2
CUAD_v1/Collaboration/FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT.PDF,FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT.PDF,53,17.423175811767578,2.1877503395080566
"CUAD_v1/Collaboration/FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.PDF","FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.PDF",74,17.362131118774414,2.123934030532837
"CUAD_v1/Collaboration/HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT.PDF","HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT.PDF",17,16.907337188720703,0.9611824154853821
CUAD_v1/Collaboration/HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT.PDF,HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT.PDF,9,16.98640251159668,1.324363350868225
CUAD_v1/Collaboration/LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT.PDF,LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT.PDF,14,17.34265899658203,1.3580646514892578
"CUAD_v1/Collaboration/MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION AGREEMENT.PDF","MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION AGREEMENT.PDF",20,16.810894012451172,0.9642791748046875
CUAD_v1/Collaboration/QIWI_06_16_2017-EX-99.(D)(2)-COOPERATION AGREEMENT.PDF,QIWI_06_16_2017-EX-99.(D)(2)-COOPERATION AGREEMENT.PDF,14,16.495344161987305,1.1585005521774292
"CUAD_v1/Collaboration/SPIENERGYCO,LTD_07_10_2014-EX-10-Cooperation Agreement of 50MWp Photovoltaic Grid-connected Power Generation Project in Yangqiao of~1.PDF","SPIENERGYCO,LTD_07_10_2014-EX-10-Cooperation Agreement of 50MWp Photovoltaic Grid-connected Power Generation Project in Yangqiao of~1.PDF",1,17.20606803894043,1.3637348413467407
"CUAD_v1/Collaboration/SPOKHOLDINGS,INC_06_19_2020-EX-10.1-COOPERATION AGREEMENT.PDF","SPOKHOLDINGS,INC_06_19_2020-EX-10.1-COOPERATION AGREEMENT.PDF",6,16.87960433959961,1.0063221454620361
CUAD_v1/Collaboration/STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT.PDF,STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT.PDF,10,16.93687629699707,1.2649884223937988
CUAD_v1/Collaboration/URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT.PDF,URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT.PDF,14,16.79918670654297,0.9949557185173035
"CUAD_v1/Consulting Agreements/ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF","ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF",4,16.9309139251709,1.8275808095932007
"CUAD_v1/Consulting Agreements/CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF","CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF",11,16.91994857788086,1.7363184690475464
"CUAD_v1/Consulting Agreements/DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF","DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF",7,16.913381576538086,1.8193789720535278
CUAD_v1/Consulting Agreements/EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..PDF,EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..PDF,8,16.828123092651367,1.7564632892608643
CUAD_v1/Consulting Agreements/GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.PDF,GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.PDF,7,16.981300354003906,1.7453622817993164
"CUAD_v1/Consulting Agreements/KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.PDF","KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.PDF",7,16.920351028442383,1.8176664113998413
"CUAD_v1/Consulting Agreements/MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.PDF","MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.PDF",8,16.926149368286133,1.7919164896011353
CUAD_v1/Consulting Agreements/PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT.PDF,PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT.PDF,9,16.908458709716797,1.8148115873336792
CUAD_v1/Consulting Agreements/SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT.PDF,SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT.PDF,14,16.906509399414062,1.7096922397613525
CUAD_v1/Consulting Agreements/SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT.PDF,SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT.PDF,4,16.9002628326416,1.7822648286819458
"CUAD_v1/Development/Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT.PDF","Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT.PDF",107,17.42769432067871,2.1762754917144775
CUAD_v1/Development/Microgenics Corporation - Collaborative Development and Commercialization Agreement.PDF,Microgenics Corporation - Collaborative Development and Commercialization Agreement.PDF,60,17.438024520874023,2.190340280532837
CUAD_v1/Development/TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT.PDF,TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT.PDF,14,16.950164794921875,1.2338290214538574
CUAD_v1/Development/WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT.PDF,WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT.PDF,6,17.454259872436523,2.1389966011047363
CUAD_v1/Distributor/ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,32,17.659204483032227,2.011475086212158
CUAD_v1/Distributor/AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.PDF,AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.PDF,14,17.747947692871094,1.9455307722091675
CUAD_v1/Distributor/BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT.PDF,BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT.PDF,8,17.629396438598633,1.9226714372634888
CUAD_v1/Distributor/ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.PDF,ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.PDF,16,17.62973976135254,1.8978296518325806
"CUAD_v1/Distributor/ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.PDF","ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.PDF",9,17.700712203979492,1.969591736793518
